SEASON,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK
1999-00,1610612760,Seattle SuperSonics,82,45,37,0.549,48.2,103.1,30.3,0.673,8.0,4.2,14.8,15.0,13.2,40.3,1,12,12,12,21,17,15,24,13,27,3,26,11,19
1999-00,1610612761,Toronto Raptors,82,45,37,0.549,48.2,102.8,29.9,0.686,8.1,6.6,14.9,13.4,18.1,40.0,1,12,12,12,22,16,19,15,11,3,5,11,29,18
1999-00,1610612762,Utah Jazz,82,55,27,0.671,48.2,101.1,29.6,0.698,7.7,5.4,15.7,12.3,10.3,32.6,1,4,4,4,22,11,23,7,16,10,11,1,1,2
1999-00,1610612763,Vancouver Grizzlies,82,22,60,0.268,48.4,106.7,28.3,0.679,7.4,4.2,19.0,13.9,16.5,43.7,1,26,26,26,2,28,27,20,21,26,27,15,26,28
1999-00,1610612764,Washington Wizards,82,29,53,0.354,48.3,105.2,29.7,0.686,7.2,4.7,17.7,13.1,14.5,39.6,1,24,24,24,14,23,21,16,22,19,21,7,17,15
2000-01,1610612737,Atlanta Hawks,82,25,57,0.305,48.1,102.4,30.4,0.691,7.7,4.7,18.6,13.0,13.1,36.8,1,25,25,25,27,17,16,12,16,21,28,9,14,13
2000-01,1610612738,Boston Celtics,82,36,46,0.439,48.4,102.3,28.9,0.69,9.4,4.1,17.0,13.0,13.4,35.9,1,20,20,20,13,15,27,15,3,28,23,10,18,8
2000-01,1610612766,Charlotte Hornets,82,46,36,0.561,48.5,97.6,31.8,0.71,8.1,5.5,15.6,12.9,10.5,35.4,1,14,14,14,8,6,4,1,11,11,10,8,3,6
2000-01,1610612741,Chicago Bulls,82,15,67,0.183,48.4,105.9,27.6,0.673,8.2,4.6,17.9,13.5,11.6,40.0,1,29,29,29,10,28,29,27,7,24,24,16,7,22
2000-01,1610612739,Cleveland Cavaliers,82,30,52,0.366,48.4,103.5,29.8,0.678,7.8,5.3,18.5,13.8,14.6,36.6,1,23,23,23,17,21,20,23,15,13,27,21,26,12
2000-01,1610612742,Dallas Mavericks,82,53,29,0.646,48.3,101.2,31.4,0.678,7.5,6.0,15.4,14.2,13.3,40.9,1,5,5,5,20,13,9,24,19,5,6,26,16,23
2000-01,1610612743,Denver Nuggets,82,40,42,0.488,48.2,104.9,31.5,0.69,6.7,6.6,15.2,13.9,15.0,41.9,1,19,19,19,21,26,7,14,27,2,5,23,27,26
2000-01,1610612765,Detroit Pistons,82,32,50,0.39,48.4,100.3,32.0,0.691,7.5,5.5,16.4,13.4,13.6,35.4,1,21,21,21,10,8,3,10,20,12,20,14,20,5
2000-01,1610612744,Golden State Warriors,82,17,65,0.207,48.2,105.5,29.1,0.68,9.0,5.0,18.2,13.7,15.2,44.9,1,28,28,28,21,27,24,21,4,17,26,20,28,29
2000-01,1610612745,Houston Rockets,82,45,37,0.549,48.4,102.8,30.8,0.691,7.2,4.4,16.1,14.1,11.7,38.2,1,15,15,15,13,19,13,13,22,26,17,25,8,18
2000-01,1610612754,Indiana Pacers,82,41,41,0.5,48.7,100.5,31.6,0.685,6.9,5.9,15.5,13.3,12.8,34.2,1,18,18,18,3,10,6,16,26,7,8,12,12,4
2000-01,1610612746,Los Angeles Clippers,82,31,51,0.378,48.9,103.2,31.2,0.682,6.0,6.3,16.7,13.6,10.8,41.6,1,22,22,22,2,20,10,19,29,4,21,19,4,25
2000-01,1610612747,Los Angeles Lakers,82,56,26,0.683,48.5,103.6,31.5,0.691,6.9,6.0,16.0,13.5,12.8,37.9,1,2,2,2,6,22,7,11,25,6,13,15,12,17
2000-01,1610612748,Miami Heat,82,50,32,0.61,48.5,97.1,29.7,0.7,7.7,3.7,14.4,12.2,10.0,35.8,1,9,9,9,8,4,21,9,17,29,2,3,2,7
2000-01,1610612749,Milwaukee Bucks,82,52,30,0.634,48.2,102.6,30.5,0.683,8.2,4.7,14.9,14.5,12.2,36.9,1,7,7,7,21,18,15,18,9,22,4,28,9,14
