SEASON,TEAM_ID,TEAM_NAME,Restricted Area FGM,Restricted Area FGA,Restricted Area FG_PCT,In The Paint (Non-RA) FGM,In The Paint (Non-RA) FGA,In The Paint (Non-RA) FG_PCT,Mid-Range FGM,Mid-Range FGA,Mid-Range FG_PCT,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG_PCT,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG_PCT,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG_PCT,Backcourt FGM,Backcourt FGA,Backcourt FG_PCT,Corner 3 FGM,Corner 3 FGA,Corner 3 FG_PCT
2008-09,1610612739,Cleveland Cavaliers,14.4,22.7,0.636,3.4,8.6,0.397,11.0,27.1,0.407,1.7,4.0,0.422,1.4,3.6,0.397,4.9,12.7,0.386,0.0,0.5,0.0,3.1,7.5,0.41
2008-09,1610612742,Dallas Mavericks,13.5,22.7,0.594,4.1,9.6,0.429,13.6,30.4,0.447,1.1,3.3,0.348,0.9,2.7,0.323,5.0,13.8,0.36,0.0,0.4,0.059,2.0,5.9,0.337
2008-09,1610612743,Denver Nuggets,18.6,30.4,0.613,3.3,8.5,0.392,8.6,22.5,0.384,0.6,1.8,0.34,0.8,1.8,0.432,5.3,14.2,0.373,0.0,0.6,0.056,1.4,3.6,0.386
2008-09,1610612765,Detroit Pistons,13.5,23.1,0.587,3.7,8.3,0.449,14.5,35.5,0.409,1.3,3.2,0.412,0.7,2.0,0.333,2.6,7.8,0.333,0.0,0.5,0.0,2.0,5.2,0.382
2008-09,1610612744,Golden State Warriors,17.7,29.3,0.604,3.8,10.2,0.376,11.2,28.5,0.391,0.9,2.3,0.399,1.0,2.0,0.516,4.8,13.6,0.352,0.0,0.6,0.056,1.9,4.2,0.453
2008-09,1610612745,Houston Rockets,14.4,25.6,0.564,5.6,12.6,0.444,8.5,21.2,0.401,0.8,2.2,0.351,1.0,2.3,0.424,6.0,15.7,0.378,0.0,0.7,0.0,1.6,4.1,0.388
2008-09,1610612754,Indiana Pacers,16.1,27.7,0.58,4.7,11.2,0.418,10.6,26.4,0.4,0.8,2.1,0.358,0.7,1.8,0.375,6.5,17.0,0.383,0.0,0.6,0.0,1.4,3.9,0.366
2008-09,1610612746,Los Angeles Clippers,16.3,28.4,0.573,4.2,10.4,0.405,9.1,24.4,0.371,0.8,2.0,0.416,0.7,1.7,0.426,5.0,14.5,0.343,0.1,0.9,0.097,1.5,3.5,0.421
2008-09,1610612747,Los Angeles Lakers,17.3,28.1,0.617,6.1,13.8,0.446,10.2,24.8,0.411,1.0,2.8,0.369,1.0,2.6,0.364,4.7,13.0,0.362,0.0,0.6,0.0,1.9,5.3,0.366
2008-09,1610612763,Memphis Grizzlies,15.0,26.5,0.567,5.5,13.7,0.402,9.5,23.3,0.409,0.7,1.9,0.361,0.8,1.7,0.435,3.5,9.8,0.354,0.0,0.5,0.0,1.4,3.5,0.396
2008-09,1610612748,Miami Heat,14.2,23.1,0.614,4.4,10.2,0.428,11.4,27.9,0.408,1.1,3.0,0.38,1.0,2.8,0.343,5.0,13.7,0.362,0.0,0.8,0.0,2.1,5.8,0.362
2008-09,1610612749,Milwaukee Bucks,14.6,25.8,0.564,4.4,10.2,0.428,11.5,29.2,0.396,1.1,2.8,0.399,1.1,2.6,0.408,4.0,11.7,0.346,0.1,0.5,0.125,2.2,5.4,0.403
2008-09,1610612750,Minnesota Timberwolves,16.0,28.5,0.563,4.4,11.0,0.404,9.4,24.4,0.384,1.4,3.3,0.43,0.9,2.4,0.389,4.2,12.8,0.331,0.0,0.7,0.0,2.4,5.7,0.413
2008-09,1610612751,New Jersey Nets,15.3,26.6,0.576,3.2,7.9,0.409,9.1,24.0,0.38,1.6,3.7,0.433,1.5,3.1,0.467,4.9,14.2,0.344,0.0,0.4,0.0,3.0,6.8,0.449
2008-09,1610612740,New Orleans Hornets,13.5,22.1,0.609,5.5,12.1,0.456,9.8,24.9,0.393,1.4,3.2,0.43,1.2,3.2,0.393,4.2,12.2,0.343,0.0,0.4,0.0,2.6,6.3,0.411
2008-09,1610612752,New York Knicks,17.7,30.7,0.574,3.3,8.1,0.41,7.5,19.9,0.379,1.5,4.3,0.359,1.1,2.7,0.413,7.4,20.6,0.358,0.0,0.7,0.0,2.6,6.9,0.38
2008-09,1610612760,Oklahoma City Thunder,17.3,28.8,0.6,3.9,10.6,0.365,11.4,30.9,0.368,0.6,1.5,0.391,0.4,1.2,0.296,3.1,8.9,0.354,0.0,0.5,0.0,0.9,2.6,0.347
2008-09,1610612753,Orlando Magic,14.1,22.7,0.619,3.9,9.9,0.389,7.8,19.5,0.403,1.7,4.4,0.395,1.5,3.8,0.389,6.7,17.8,0.378,0.0,0.5,0.0,3.2,8.2,0.392
2008-09,1610612755,Philadelphia 76ers,18.5,31.1,0.596,3.7,9.8,0.376,10.2,25.6,0.396,0.8,2.4,0.328,0.6,1.5,0.385,2.8,9.1,0.31,0.0,0.6,0.067,1.3,3.8,0.349
2008-09,1610612756,Phoenix Suns,20.0,30.5,0.658,6.0,13.0,0.456,8.4,20.6,0.409,1.0,2.6,0.372,1.2,2.8,0.417,4.6,12.0,0.385,0.0,0.6,0.0,2.1,5.4,0.395
2008-09,1610612757,Portland Trail Blazers,14.9,24.3,0.614,4.4,10.6,0.419,10.2,25.4,0.402,1.6,3.8,0.415,1.6,4.0,0.394,4.1,10.8,0.38,0.0,0.8,0.034,3.1,7.8,0.404
2008-09,1610612758,Sacramento Kings,14.7,25.0,0.59,4.1,11.0,0.372,10.5,26.2,0.402,1.1,2.5,0.455,1.2,3.0,0.399,4.8,13.7,0.35,0.0,0.6,0.0,2.3,5.4,0.425
2008-09,1610612759,San Antonio Spurs,13.2,21.8,0.603,4.4,10.0,0.443,11.9,28.5,0.419,1.5,3.9,0.394,1.5,3.9,0.396,4.5,11.5,0.393,0.0,0.5,0.0,3.0,7.7,0.395
2008-09,1610612761,Toronto Raptors,13.1,22.0,0.595,4.1,10.1,0.408,14.2,33.6,0.423,0.7,1.7,0.406,1.0,2.4,0.426,4.2,11.5,0.362,0.0,0.5,0.0,1.7,4.0,0.418
2008-09,1610612762,Utah Jazz,19.2,31.8,0.606,3.3,8.5,0.385,11.1,26.9,0.411,0.6,1.3,0.442,0.6,1.7,0.355,3.6,10.6,0.341,0.0,0.3,0.0,1.2,3.0,0.393
2008-09,1610612764,Washington Wizards,16.6,27.8,0.595,4.2,10.7,0.39,11.0,28.1,0.391,0.6,1.7,0.36,0.4,1.4,0.282,3.8,11.5,0.334,0.0,0.7,0.0,1.0,3.0,0.325
2009-10,1610612737,Atlanta Hawks,16.4,26.3,0.624,5.9,13.6,0.432,10.1,25.3,0.4,1.6,4.4,0.373,1.0,2.8,0.348,3.8,10.4,0.365,0.0,0.7,0.056,2.6,7.1,0.363
2009-10,1610612738,Boston Celtics,17.6,27.7,0.634,4.5,10.1,0.443,8.9,21.4,0.416,0.7,2.4,0.312,0.7,1.8,0.371,4.7,13.3,0.355,0.0,0.4,0.0,1.4,4.0,0.337
2009-10,1610612766,Charlotte Bobcats,18.4,31.9,0.578,3.1,8.2,0.385,7.7,20.6,0.373,0.9,2.3,0.365,1.0,2.5,0.389,3.8,11.2,0.338,0.0,0.6,0.053,1.8,4.8,0.378
2009-10,1610612741,Chicago Bulls,15.9,28.0,0.57,4.3,9.7,0.444,13.0,32.6,0.4,0.9,2.3,0.416,0.7,1.9,0.364,2.7,8.8,0.306,0.0,0.5,0.0,1.6,4.1,0.393
2009-10,1610612739,Cleveland Cavaliers,18.0,27.3,0.662,4.0,9.0,0.441,8.5,22.4,0.379,1.3,3.3,0.389,1.4,3.3,0.422,4.6,12.6,0.37,0.0,0.5,0.083,2.7,6.6,0.406
2009-10,1610612742,Dallas Mavericks,14.3,23.9,0.598,4.7,11.4,0.41,12.5,28.8,0.434,0.9,2.4,0.397,0.7,1.9,0.371,5.2,13.9,0.373,0.0,0.4,0.0,1.6,4.2,0.386
2009-10,1610612743,Denver Nuggets,18.0,29.2,0.617,3.6,9.1,0.392,9.9,24.6,0.402,1.0,2.3,0.42,0.8,1.9,0.395,5.0,14.2,0.349,0.0,0.6,0.0,1.7,4.1,0.408
2009-10,1610612765,Detroit Pistons,15.3,26.2,0.582,3.9,9.8,0.399,12.1,29.9,0.405,0.9,2.5,0.34,0.8,2.4,0.311,3.0,9.5,0.312,0.0,0.6,0.0,1.6,4.9,0.326
